date,platform,post_id,keyword,likes,shares,followers,sentiment_score
2025-04-05,Twitter,TW_4_183,RemoteWork,3484,1356,307012,0.13
2025-04-05,Instagram,IN_4_833,Innovation,2623,498,140258,-0.21
2025-04-05,Instagram,IN_4_787,Sustainability,2507,946,166767,0.86
2025-04-05,Instagram,IN_4_174,DataScience,126,948,326666,1.0
2025-04-05,TikTok,TI_4_618,AI,2222,281,490296,-0.3
2025-04-05,TikTok,TI_4_170,Sustainability,2051,766,150415,-0.68
2025-04-05,LinkedIn,LI_4_779,Innovation,898,285,139656,-0.77
2025-04-05,LinkedIn,LI_4_209,AI,4582,328,143788,-0.44
2025-04-05,LinkedIn,LI_4_315,DataScience,2858,426,361446,0.27
2025-04-05,LinkedIn,LI_4_370,Sustainability,4190,1010,132659,0.81
2025-04-06,Twitter,TW_5_949,AI,2316,100,2858,-0.33
2025-04-06,Twitter,TW_5_233,RemoteWork,2195,340,389618,-0.12
2025-04-06,Instagram,IN_5_807,RemoteWork,1271,1127,19889,0.67
2025-04-06,Instagram,IN_5_696,AI,4576,313,226332,-0.75
2025-04-06,Instagram,IN_5_415,DataScience,3037,91,472295,-0.28
2025-04-06,Instagram,IN_5_798,Innovation,2094,1375,54893,-0.29
2025-04-06,TikTok,TI_5_919,RemoteWork,1500,854,13995,-0.64
2025-04-06,TikTok,TI_5_440,Sustainability,3422,1381,454018,0.47
2025-04-06,TikTok,TI_5_354,AI,2235,336,413811,0.4
2025-04-06,TikTok,TI_5_491,Innovation,367,973,117619,-0.6
2025-04-06,LinkedIn,LI_5_328,Innovation,243,1361,102255,-0.2
2025-04-06,LinkedIn,LI_5_385,DataScience,618,581,185101,0.28
2025-04-06,LinkedIn,LI_5_509,AI,4442,688,493430,-0.94
2025-04-07,Twitter,TW_6_211,Sustainability,4937,899,182239,0.46
2025-04-07,Twitter,TW_6_421,Innovation,3624,1251,269132,-0.77
2025-04-07,Twitter,TW_6_690,AI,1607,531,24271,0.42
2025-04-07,Instagram,IN_6_472,DataScience,3583,153,498483,0.33
2025-04-07,Instagram,IN_6_438,Sustainability,2621,1368,445604,-0.75
2025-04-07,TikTok,TI_6_518,DataScience,2722,834,366538,-0.41
2025-04-07,TikTok,TI_6_230,Innovation,1621,871,349614,0.88
2025-04-07,TikTok,TI_6_793,RemoteWork,1475,1270,299375,-0.4
2025-04-07,LinkedIn,LI_6_540,AI,4801,1252,344254,-0.36
2025-04-07,LinkedIn,LI_6_552,Innovation,3672,1393,113041,0.02
2025-04-07,LinkedIn,LI_6_912,Sustainability,1440,1359,45457,-0.43
2025-04-07,LinkedIn,LI_6_779,DataScience,2795,201,430089,0.9
2025-04-08,Twitter,TW_7_925,Innovation,1681,311,13805,-0.91
2025-04-08,Twitter,TW_7_586,Sustainability,646,942,218286,0.77
2025-04-08,Instagram,IN_7_349,Sustainability,1258,1353,361512,-0.99
2025-04-08,Instagram,IN_7_868,RemoteWork,923,880,115735,-0.65
2025-04-08,Instagram,IN_7_812,DataScience,4293,961,27328,0.11
2025-04-08,Instagram,IN_7_968,Innovation,1044,944,70908,0.6
2025-04-08,TikTok,TI_7_950,DataScience,4538,923,471395,-0.68
2025-04-08,TikTok,TI_7_982,Innovation,3938,931,136891,0.5
2025-04-08,TikTok,TI_7_960,Sustainability,2321,1077,255068,0.25
2025-04-08,TikTok,TI_7_381,RemoteWork,3653,168,375103,-0.43
2025-04-08,LinkedIn,LI_7_182,Innovation,1183,318,122247,-0.23
2025-04-08,LinkedIn,LI_7_256,DataScience,1802,141,218510,-0.18
2025-04-08,LinkedIn,LI_7_655,RemoteWork,3866,861,33645,-0.59
2025-04-09,Twitter,TW_8_489,RemoteWork,3957,22,495268,-0.3
2025-04-09,Twitter,TW_8_871,AI,3244,868,283182,0.5
2025-04-09,Twitter,TW_8_659,Innovation,4991,461,256972,-0.56
2025-04-09,Instagram,IN_8_444,RemoteWork,3362,1493,87530,0.68
2025-04-09,Instagram,IN_8_230,AI,4425,65,476491,-0.21
2025-04-09,Instagram,IN_8_677,Sustainability,272,181,337985,-0.14
2025-04-09,TikTok,TI_8_488,Sustainability,2731,443,239393,-0.35
2025-04-09,TikTok,TI_8_879,AI,3155,579,395269,0.9
2025-04-09,TikTok,TI_8_531,DataScience,2116,177,247576,-0.96
2025-04-09,LinkedIn,LI_8_899,AI,379,73,498870,-0.51
2025-04-09,LinkedIn,LI_8_959,Innovation,216,1282,80892,-0.52
2025-04-09,LinkedIn,LI_8_584,DataScience,987,1165,497897,-0.56
2025-04-09,LinkedIn,LI_8_816,RemoteWork,2149,765,88969,0.21
2025-04-10,Twitter,TW_9_692,AI,260,648,302883,0.35
2025-04-10,Twitter,TW_9_484,Sustainability,3299,1474,104981,-0.85
2025-04-10,Twitter,TW_9_807,RemoteWork,2039,218,366529,0.54
2025-04-10,Twitter,TW_9_970,DataScience,4968,257,418452,0.97
2025-04-10,Instagram,IN_9_777,Innovation,3085,151,266269,0.3
2025-04-10,Instagram,IN_9_112,RemoteWork,3491,1013,56332,-0.13
2025-04-10,TikTok,TI_9_280,RemoteWork,4324,1342,142600,0.23
2025-04-10,TikTok,TI_9_651,Sustainability,4010,962,229366,0.65
2025-04-10,TikTok,TI_9_706,DataScience,2248,670,447542,-0.51
2025-04-10,LinkedIn,LI_9_349,Innovation,3856,1177,320989,0.34
2025-04-10,LinkedIn,LI_9_444,RemoteWork,285,1022,447144,-0.35
2025-04-11,Twitter,TW_10_448,Sustainability,2340,1230,368622,0.76
2025-04-11,Twitter,TW_10_669,Innovation,133,1068,498057,-0.62
2025-04-11,Twitter,TW_10_347,DataScience,3379,1010,292072,0.52
2025-04-11,Instagram,IN_10_195,RemoteWork,2460,463,213022,0.38
2025-04-11,Instagram,IN_10_413,DataScience,4814,765,249124,0.11
2025-04-11,Instagram,IN_10_452,Sustainability,3535,1137,174429,-0.3
2025-04-11,Instagram,IN_10_564,AI,2269,637,132807,-0.54
2025-04-11,TikTok,TI_10_296,Sustainability,1822,1001,145965,0.45
2025-04-11,TikTok,TI_10_878,Innovation,4347,1232,149372,0.96
2025-04-11,TikTok,TI_10_952,AI,1640,616,120266,-0.28
2025-04-11,TikTok,TI_10_409,RemoteWork,165,1460,281040,-0.75
2025-04-11,LinkedIn,LI_10_814,AI,1084,1316,456323,0.51
2025-04-11,LinkedIn,LI_10_205,Innovation,150,1185,150075,-0.06
2025-04-12,Twitter,TW_11_358,Innovation,3963,243,432025,-0.87
2025-04-12,Twitter,TW_11_603,Sustainability,656,1191,331010,0.37
2025-04-12,Twitter,TW_11_255,AI,1272,1162,498615,-0.39
2025-04-12,Instagram,IN_11_720,AI,4933,1276,119325,0.55
2025-04-12,Instagram,IN_11_489,RemoteWork,3740,916,156898,0.72
2025-04-12,TikTok,TI_11_857,Innovation,862,435,328950,-0.58
2025-04-12,TikTok,TI_11_776,AI,715,331,126758,-0.65
2025-04-12,TikTok,TI_11_176,DataScience,1332,15,215180,-0.1
2025-04-12,LinkedIn,LI_11_395,RemoteWork,2366,1449,451681,-0.09
2025-04-12,LinkedIn,LI_11_803,Innovation,1962,551,414048,0.58
2025-04-12,LinkedIn,LI_11_703,AI,1670,880,61175,0.09
2025-04-12,LinkedIn,LI_11_763,DataScience,1270,554,434392,-0.72
2025-04-13,Twitter,TW_12_709,Sustainability,4712,601,231242,-0.75
2025-04-13,Twitter,TW_12_805,Innovation,2541,1443,212030,0.89
2025-04-13,Instagram,IN_12_712,DataScience,376,894,386107,-0.36
2025-04-13,Instagram,IN_12_356,RemoteWork,261,197,121022,0.92
2025-04-13,Instagram,IN_12_956,Sustainability,4762,1212,499485,-0.96
2025-04-13,Instagram,IN_12_883,AI,2257,1190,22092,0.53
2025-04-13,TikTok,TI_12_384,RemoteWork,1536,1208,229529,0.27
2025-04-13,TikTok,TI_12_603,DataScience,797,972,183431,-0.18
2025-04-13,LinkedIn,LI_12_521,AI,4108,600,348384,0.89
2025-04-13,LinkedIn,LI_12_933,Sustainability,4556,85,239459,-0.82
2025-04-13,LinkedIn,LI_12_358,RemoteWork,2698,247,406037,-0.19
2025-04-14,Twitter,TW_13_292,AI,4297,750,327439,0.51
2025-04-14,Twitter,TW_13_740,RemoteWork,3671,115,107723,-0.47
2025-04-14,Twitter,TW_13_234,Sustainability,2409,907,462817,0.4
2025-04-14,Twitter,TW_13_224,DataScience,286,1300,320224,0.6
2025-04-14,Instagram,IN_13_665,Sustainability,3392,200,118807,0.98
2025-04-14,Instagram,IN_13_216,Innovation,3830,250,340586,0.66
2025-04-14,Instagram,IN_13_610,RemoteWork,2440,1052,370838,-0.45
2025-04-14,Instagram,IN_13_954,AI,4002,977,128785,-0.09
2025-04-14,TikTok,TI_13_713,RemoteWork,4213,289,453998,-0.86
2025-04-14,TikTok,TI_13_891,Sustainability,3449,706,490815,0.58
2025-04-14,LinkedIn,LI_13_405,AI,4858,1197,346999,-0.02
2025-04-14,LinkedIn,LI_13_252,Innovation,3708,1113,254934,-0.31
2025-04-14,LinkedIn,LI_13_665,RemoteWork,4501,782,239731,0.87
2025-04-15,Twitter,TW_14_339,Sustainability,3415,99,167816,0.49
2025-04-15,Twitter,TW_14_822,RemoteWork,3173,800,348964,0.58
2025-04-15,Instagram,IN_14_614,Sustainability,4884,689,456973,-0.8
2025-04-15,Instagram,IN_14_965,RemoteWork,3656,214,276749,0.82
2025-04-15,Instagram,IN_14_115,AI,1230,849,457619,0.31
2025-04-15,Instagram,IN_14_258,Innovation,662,971,410744,0.94
2025-04-15,TikTok,TI_14_182,DataScience,2741,1391,451542,0.07
2025-04-15,TikTok,TI_14_424,RemoteWork,4047,1118,19821,0.23
2025-04-15,TikTok,TI_14_340,Innovation,2404,475,392520,-0.82
2025-04-15,LinkedIn,LI_14_270,AI,2503,69,25112,-0.35
2025-04-15,LinkedIn,LI_14_157,RemoteWork,2453,744,197524,-0.14
2025-04-16,Twitter,TW_15_679,DataScience,1525,358,92786,-0.84
2025-04-16,Twitter,TW_15_991,RemoteWork,3183,1279,359159,-0.52
2025-04-16,Instagram,IN_15_570,Sustainability,2141,1375,5926,0.8
2025-04-16,Instagram,IN_15_576,DataScience,2406,1397,287574,-0.68
2025-04-16,Instagram,IN_15_552,RemoteWork,2880,1213,157842,0.28
2025-04-16,Instagram,IN_15_534,Innovation,2098,945,444182,-0.4
2025-04-16,TikTok,TI_15_490,RemoteWork,4735,745,302366,-0.41
2025-04-16,TikTok,TI_15_816,AI,2468,54,436178,0.32
2025-04-16,TikTok,TI_15_381,DataScience,116,1169,454544,0.37
2025-04-16,LinkedIn,LI_15_721,AI,2936,458,334771,-0.62
2025-04-16,LinkedIn,LI_15_356,RemoteWork,1170,1296,51941,0.81
2025-04-16,LinkedIn,LI_15_761,Sustainability,372,642,414459,-0.12
2025-04-16,LinkedIn,LI_15_693,DataScience,3038,279,48255,0.82
2025-04-17,Twitter,TW_16_235,RemoteWork,4468,759,279319,0.0
2025-04-17,Twitter,TW_16_379,Sustainability,1397,536,480224,0.65
2025-04-17,Twitter,TW_16_593,AI,2467,703,422649,-0.77
2025-04-17,Instagram,IN_16_980,Sustainability,3305,1151,192771,-0.82
2025-04-17,Instagram,IN_16_504,DataScience,164,551,282318,-0.75
2025-04-17,TikTok,TI_16_480,Innovation,937,1392,123590,-0.06
2025-04-17,TikTok,TI_16_734,RemoteWork,4649,681,480857,0.22
2025-04-17,TikTok,TI_16_763,DataScience,567,1311,432937,-0.07
2025-04-17,LinkedIn,LI_16_146,Innovation,354,633,259277,-0.77
2025-04-17,LinkedIn,LI_16_340,RemoteWork,4453,287,204762,-0.09
2025-04-17,LinkedIn,LI_16_786,AI,4475,868,308935,0.48
2025-04-17,LinkedIn,LI_16_258,DataScience,3448,1351,52915,0.67
2025-04-18,Twitter,TW_17_322,RemoteWork,3682,920,499364,-0.53
2025-04-18,Twitter,TW_17_471,Innovation,863,1414,193589,0.09
2025-04-18,Twitter,TW_17_760,AI,2988,134,209739,-0.45
2025-04-18,Twitter,TW_17_225,Sustainability,3775,197,348481,-0.58
2025-04-18,Instagram,IN_17_349,DataScience,1081,1166,108586,-0.86
2025-04-18,Instagram,IN_17_883,AI,4590,434,308433,-0.57
2025-04-18,Instagram,IN_17_990,RemoteWork,1958,682,406992,-0.7
2025-04-18,Instagram,IN_17_710,Sustainability,73,577,451052,0.97
2025-04-18,TikTok,TI_17_917,DataScience,1479,235,347584,0.73
2025-04-18,TikTok,TI_17_234,Innovation,171,743,415179,0.58
2025-04-18,LinkedIn,LI_17_153,Innovation,1088,872,276820,-0.77
2025-04-18,LinkedIn,LI_17_165,AI,3951,928,408904,-0.28
2025-04-18,LinkedIn,LI_17_707,RemoteWork,943,935,265156,-0.56
2025-04-18,LinkedIn,LI_17_729,Sustainability,405,1499,411636,0.82
2025-04-19,Twitter,TW_18_162,DataScience,3973,832,224490,0.37
2025-04-19,Twitter,TW_18_602,Innovation,3683,160,472474,-0.84
2025-04-19,Twitter,TW_18_722,Sustainability,1265,144,67160,-0.45
2025-04-19,Twitter,TW_18_748,AI,4845,1133,374373,-0.35
2025-04-19,Instagram,IN_18_201,DataScience,987,1350,342267,0.76
2025-04-19,Instagram,IN_18_664,Innovation,1811,890,237744,0.78
2025-04-19,Instagram,IN_18_523,Sustainability,2826,938,210049,-0.17
2025-04-19,Instagram,IN_18_197,RemoteWork,2610,884,164852,0.33
2025-04-19,TikTok,TI_18_193,Sustainability,749,200,227427,-0.81
2025-04-19,TikTok,TI_18_856,RemoteWork,3102,276,292698,-0.88
2025-04-19,TikTok,TI_18_675,AI,4651,685,352279,-0.76
2025-04-19,LinkedIn,LI_18_714,RemoteWork,2609,730,55316,0.16
2025-04-19,LinkedIn,LI_18_317,AI,1317,1354,253806,-0.55
2025-04-19,LinkedIn,LI_18_210,Sustainability,2918,1149,193707,-0.77
2025-04-20,Twitter,TW_19_965,DataScience,4645,1283,322689,0.35
2025-04-20,Twitter,TW_19_670,Sustainability,265,1257,488107,0.32
2025-04-20,Twitter,TW_19_810,RemoteWork,2240,69,95589,-0.45
2025-04-20,Instagram,IN_19_285,Innovation,1223,1169,345637,-0.2
2025-04-20,Instagram,IN_19_245,DataScience,301,197,392177,0.06
2025-04-20,Instagram,IN_19_485,AI,3489,939,179727,-0.69
2025-04-20,TikTok,TI_19_259,Innovation,1339,1275,27089,0.35
2025-04-20,TikTok,TI_19_378,AI,3679,1365,223305,-0.03
2025-04-20,TikTok,TI_19_552,RemoteWork,3442,569,114020,0.51
2025-04-20,LinkedIn,LI_19_213,Innovation,2370,1398,356722,0.19
2025-04-20,LinkedIn,LI_19_639,RemoteWork,2576,103,116615,-0.21
2025-04-21,Twitter,TW_20_316,AI,1174,533,152753,-0.34
2025-04-21,Twitter,TW_20_107,DataScience,4124,891,93114,-0.74
2025-04-21,Twitter,TW_20_645,RemoteWork,1935,1034,293932,0.67
2025-04-21,Twitter,TW_20_925,Sustainability,2951,157,209179,0.72
2025-04-21,Instagram,IN_20_570,RemoteWork,687,651,302863,-0.14
2025-04-21,Instagram,IN_20_514,AI,3471,602,61384,-0.19
2025-04-21,TikTok,TI_20_470,Sustainability,771,904,443753,-0.79
2025-04-21,TikTok,TI_20_546,RemoteWork,4874,830,275707,-0.84
2025-04-21,TikTok,TI_20_991,Innovation,2591,705,117167,-0.33
2025-04-21,LinkedIn,LI_20_643,AI,4227,407,475964,0.55
2025-04-21,LinkedIn,LI_20_459,DataScience,1259,493,54899,-0.71
2025-04-22,Twitter,TW_21_878,Sustainability,667,372,499751,0.55
2025-04-22,Twitter,TW_21_605,DataScience,3850,1164,399394,0.16
2025-04-22,Instagram,IN_21_254,DataScience,3652,149,246849,-0.12
2025-04-22,Instagram,IN_21_410,Innovation,2300,1221,30450,-0.3
2025-04-22,Instagram,IN_21_175,RemoteWork,2592,955,237933,-0.92
2025-04-22,Instagram,IN_21_477,Sustainability,2401,167,338990,0.73
2025-04-22,TikTok,TI_21_573,DataScience,4804,1145,416140,0.48
2025-04-22,TikTok,TI_21_142,RemoteWork,3734,1180,342750,-0.62
2025-04-22,LinkedIn,LI_21_205,RemoteWork,2863,1472,45212,0.01
2025-04-22,LinkedIn,LI_21_276,Sustainability,370,517,371997,-0.12
2025-04-22,LinkedIn,LI_21_549,AI,4343,1080,320713,-0.68
2025-04-22,LinkedIn,LI_21_481,DataScience,2367,803,215312,0.55
2025-04-23,Twitter,TW_22_167,DataScience,2750,203,293533,0.36
2025-04-23,Twitter,TW_22_390,AI,2114,1492,447465,0.31
2025-04-23,Twitter,TW_22_717,Innovation,1281,692,43730,0.17
2025-04-23,Twitter,TW_22_244,Sustainability,2915,645,344961,0.4
2025-04-23,Instagram,IN_22_672,Sustainability,3135,1327,416058,-0.34
2025-04-23,Instagram,IN_22_230,AI,4362,201,339703,0.34
2025-04-23,Instagram,IN_22_620,DataScience,3014,47,191105,-0.38
2025-04-23,TikTok,TI_22_296,Innovation,1905,291,82235,-0.85
2025-04-23,TikTok,TI_22_964,RemoteWork,878,1049,405160,0.08
2025-04-23,LinkedIn,LI_22_997,DataScience,1123,1233,198509,-0.69
2025-04-23,LinkedIn,LI_22_285,AI,1406,1486,230466,-0.91
2025-04-23,LinkedIn,LI_22_473,Innovation,1995,919,321127,-0.43
2025-04-23,LinkedIn,LI_22_866,Sustainability,3727,489,280975,-0.52
2025-04-24,Twitter,TW_23_684,Sustainability,3659,955,404407,-0.44
2025-04-24,Twitter,TW_23_491,Innovation,4169,1090,220498,0.93
2025-04-24,Twitter,TW_23_936,RemoteWork,1685,1248,73560,0.75
2025-04-24,Instagram,IN_23_667,RemoteWork,890,1466,444491,0.03
2025-04-24,Instagram,IN_23_227,Innovation,2385,181,401092,-0.68
2025-04-24,TikTok,TI_23_193,DataScience,1868,933,464800,-0.3
2025-04-24,TikTok,TI_23_127,Sustainability,3448,119,208856,0.0
2025-04-24,TikTok,TI_23_341,RemoteWork,3213,177,197562,-0.55
2025-04-24,LinkedIn,LI_23_240,AI,363,597,481979,0.66
2025-04-24,LinkedIn,LI_23_812,Innovation,1186,1454,246948,-0.1
2025-04-24,LinkedIn,LI_23_105,DataScience,699,48,135177,-0.57
2025-04-25,Twitter,TW_24_213,DataScience,2410,496,158889,-0.76
2025-04-25,Twitter,TW_24_344,RemoteWork,3489,1318,417231,0.25
2025-04-25,Instagram,IN_24_711,AI,4441,43,332326,0.03
2025-04-25,Instagram,IN_24_347,RemoteWork,1226,606,226044,-1.0
2025-04-25,TikTok,TI_24_780,Sustainability,751,1082,190060,-0.86
2025-04-25,TikTok,TI_24_638,RemoteWork,4507,1049,413306,0.98
2025-04-25,TikTok,TI_24_667,AI,216,809,458877,-0.06
2025-04-25,LinkedIn,LI_24_465,RemoteWork,603,716,127419,0.47
2025-04-25,LinkedIn,LI_24_743,Innovation,899,1201,386449,0.51
2025-04-25,LinkedIn,LI_24_236,Sustainability,413,731,287268,-0.32
2025-04-25,LinkedIn,LI_24_758,AI,1484,1412,244596,0.96
2025-04-26,Twitter,TW_25_833,Sustainability,3799,85,154848,-0.6
2025-04-26,Twitter,TW_25_910,DataScience,1684,95,166463,0.87
2025-04-26,Twitter,TW_25_627,AI,3312,1122,249197,-0.49
2025-04-26,Instagram,IN_25_986,Sustainability,2769,569,66260,0.6
2025-04-26,Instagram,IN_25_547,Innovation,3326,910,470047,0.91
2025-04-26,Instagram,IN_25_447,DataScience,1580,1026,363843,-0.0
2025-04-26,Instagram,IN_25_916,AI,4303,556,421032,-0.83
2025-04-26,TikTok,TI_25_942,AI,1528,1127,155018,-0.36
2025-04-26,TikTok,TI_25_181,RemoteWork,2736,1363,156000,-0.39
2025-04-26,TikTok,TI_25_717,Innovation,3540,351,362635,-0.11
2025-04-26,LinkedIn,LI_25_545,AI,2299,1319,415962,0.9
2025-04-26,LinkedIn,LI_25_176,Innovation,3377,754,270004,0.6
2025-04-26,LinkedIn,LI_25_795,RemoteWork,1360,73,75857,0.7
2025-04-27,Twitter,TW_26_341,RemoteWork,3050,751,201725,0.9
2025-04-27,Twitter,TW_26_133,AI,1306,1400,236889,0.9
2025-04-27,Twitter,TW_26_480,DataScience,3686,167,301900,-0.72
2025-04-27,Twitter,TW_26_475,Innovation,3310,653,341556,-0.44
2025-04-27,Instagram,IN_26_611,AI,4291,802,479959,0.12
2025-04-27,Instagram,IN_26_368,Sustainability,2182,1451,234975,-0.57
2025-04-27,TikTok,TI_26_238,Innovation,656,935,91521,0.8
2025-04-27,TikTok,TI_26_555,RemoteWork,769,1406,444296,0.97
2025-04-27,TikTok,TI_26_783,AI,2896,1463,35046,0.1
2025-04-27,TikTok,TI_26_397,DataScience,2507,332,374192,0.42
2025-04-27,LinkedIn,LI_26_224,Sustainability,1696,294,125117,0.58
2025-04-27,LinkedIn,LI_26_126,Innovation,3006,1144,301038,-0.26
2025-04-27,LinkedIn,LI_26_922,RemoteWork,4569,275,321837,0.77
2025-04-27,LinkedIn,LI_26_167,AI,2583,825,376879,0.44
2025-04-28,Twitter,TW_27_228,RemoteWork,2647,1325,39883,-0.1
2025-04-28,Twitter,TW_27_796,DataScience,4288,715,68284,0.76
2025-04-28,Twitter,TW_27_898,Innovation,4566,1320,309169,-0.64
2025-04-28,Twitter,TW_27_232,AI,3594,1039,478475,0.74
2025-04-28,Instagram,IN_27_411,DataScience,1398,341,170167,0.87
2025-04-28,Instagram,IN_27_330,Sustainability,2884,1072,470198,-0.43
2025-04-28,TikTok,TI_27_750,Innovation,4562,572,66625,0.25
2025-04-28,TikTok,TI_27_729,Sustainability,4420,201,264493,0.28
2025-04-28,LinkedIn,LI_27_962,DataScience,4667,94,433661,0.73
2025-04-28,LinkedIn,LI_27_183,Sustainability,422,1323,405237,0.15
2025-04-28,LinkedIn,LI_27_766,AI,1776,1181,219411,0.24
2025-04-28,LinkedIn,LI_27_131,RemoteWork,4129,1294,287039,-0.42
2025-04-29,Twitter,TW_28_515,RemoteWork,2486,938,39258,0.38
2025-04-29,Twitter,TW_28_261,Sustainability,3651,861,254887,-0.07
2025-04-29,Twitter,TW_28_448,Innovation,1226,650,452666,0.44
2025-04-29,Instagram,IN_28_627,Innovation,4651,227,168308,-0.52
2025-04-29,Instagram,IN_28_225,RemoteWork,2241,930,130980,-0.72
2025-04-29,Instagram,IN_28_151,AI,2427,796,454070,0.23
2025-04-29,Instagram,IN_28_354,Sustainability,1358,680,490554,0.16
2025-04-29,TikTok,TI_28_627,Sustainability,3874,1031,461888,-0.38
2025-04-29,TikTok,TI_28_123,DataScience,787,815,265998,-0.09
2025-04-29,TikTok,TI_28_346,RemoteWork,1812,1204,186018,-0.9
2025-04-29,LinkedIn,LI_28_649,RemoteWork,116,230,226930,-0.73
2025-04-29,LinkedIn,LI_28_370,DataScience,3046,835,192856,-0.91
2025-04-29,LinkedIn,LI_28_152,Sustainability,4721,1160,103055,-0.27
2025-04-30,Twitter,TW_29_561,AI,4554,582,433700,0.98
2025-04-30,Twitter,TW_29_796,RemoteWork,1023,273,51688,-0.21
2025-04-30,Twitter,TW_29_913,Innovation,2827,1152,493279,-0.27
2025-04-30,Instagram,IN_29_612,Sustainability,379,102,21402,-0.73
2025-04-30,Instagram,IN_29_441,RemoteWork,3930,1073,240593,-0.7
2025-04-30,TikTok,TI_29_266,Sustainability,3269,1272,388616,0.69
2025-04-30,TikTok,TI_29_707,Innovation,2805,1048,435262,0.02
2025-04-30,TikTok,TI_29_601,RemoteWork,4661,623,249980,0.63
2025-04-30,TikTok,TI_29_477,DataScience,2763,1389,58464,0.96
2025-04-30,LinkedIn,LI_29_371,Innovation,4788,1192,120298,0.44
2025-04-30,LinkedIn,LI_29_697,AI,3985,359,275848,0.26
